timestamp,equity,daily_pnl,daily_pnl_pct
2026-08-11,99923.23,-76.77,-0.0770
2026-08-12,99551.43,-371.80,-0.3727
2026-08-13,99555.06,3.63,0.0036
2026-08-14,99551.03,-4.03,-0.0040
2026-08-17,99514.27,-36.76,-0.0369
2026-08-18,99515.93,1.66,0.0017
2026-08-19,99513.39,-2.54,-0.0026
2026-08-20,99612.24,98.85,0.0993
2026-08-21,99506.06,-106.18,-0.1066
2026-08-24,99599.12,93.06,0.0936
2026-08-25,99598.94,-0.18,-0.0002
2026-08-26,99598.94,0.00,0.0000
2026-08-27,99598.94,0.00,0.0000
2026-08-28,99352.83,-246.11,-0.2471
